"NORDEN"	"IDHOGAR"	"TMUNI"	"NHOGAR"	"EHOGAR"	"SEXO"	"EDAD"	"NACIONALIDAD"	"ESTUDIANTE"	"REGLADO"	"NOREGLADO"	"NEST"	"NEST2"	"C01"	"C02"	"C03"	"C04"	"MCL"	"C08"	"C09A"	"C10"	"C11A"	"C12"	"C13A"	"C14"	"C15A"	"C16"	"C17A"	"C18"	"C19A"	"C20"	"C21A"	"C22"	"C23A"	"C24"	"C25A"	"C26"	"C27A"	"C28A"	"C29A"	"C31A"	"C33A"	"C34A"	"DLIB"	"LIB"	"D42"	"D43"	"D44"	"D45"	"D47"	"D48"	"D50"	"D51"	"D53"	"D54"	"D56"	"D57"	"GTT"	"GTS"	"GTSR"	"GTSNR"	"GTB"	"E59"	"E60R1"	"E60R2"	"E60R3"	"E60R4"	"E60R5"	"E60R6"	"E61R1"	"E61R2"	"E61R3"	"E61R4"	"E61R5"	"E61R6"	"E61R7"	"E62R1"	"E62R2"	"E62R3"	"E62R4"	"FACTOR"
0013120	0319	1		1	2	49	1	0	0	0	0	00																																																																				697.42846
0013121	0319	1		1	2	16	1	1	1	1	3	06	1	1	4		100	1	1125	2		1	1800			2		2		1	100	2		2		2						250	1	149	1	25	1	300	1	30	2		2		2		3879	3375	3125	250	504	1							1	2	2	2	2	2	1					697.42846
0013122	0319	1		1	1	22	1	0	0	0	0	00																																																																				697.42846
0006982	0320	1		1	2	57	1	0	0	0	0	00																																																																				563.638663
0006983	0320	1		1	1	56	1	0	0	0	0	00																																																																				563.638663
0006984	0320	1		1	2	21	1	1	1	0	4	08	1	2	2		45	2				2												2		2							2		1	25			1	30	2		2		2		100	45	45		55	1														1	2	2	2	563.638663
0006985	0320	1		1	2	90	1	0	0	0	0	00																																																																				563.638663
0006989	0321	1		1	1	45	1	0	0	0	0	00																																																																				943.36525
0006990	0321	1		1	2	43	1	0	0	0	0	00																																																																				943.36525
0006991	0321	1		1	2	10	1	1	1	0	2	03	1	1	1		0	2		2		2		2		2		2		1	15	1	12	2		2							1	90	1	3	1	60	1	50	2		2		2		230	27	27		203	2	2	2	2	2	2	2												943.36525
